STRING_GENERIC_NEW_LINE				"\r\n"
STRING_MAIN_MENU_TITLE					"#=========================#\r\n| Text Games System V 1.0 |\r\n#=========================#\r\n\r\n"
STRING_MAIN_MENU_ENTRIES				"    1. Numbers\r\n    2. Calcul mental\r\n    3. Chasse au Wumpus\r\n    4. Loto\r\n    5. Démo graphique (aléatoire)\r\n    6. Démo graphique (séquence)\r\n"
STRING_MAIN_MENU_ASK_USER				"\r\n\r\nChoix du jeu : "
STRING_NUMBERS_TITLE			"+---------+\r\n| Numbers |\r\n+---------+\r\n\r\nVous devez trouver un nombre compris entre 0 et 99999 en moins de 20 tentatives.\r\nAppuyez sur la touche Echap pour quitter.\r\n\r\n"
STRING_NUMBERS_ASK_NUMBER		"Insérez un nombre : "
STRING_NUMBERS_TOO_SMALL		"Trop petit !\r\n"
STRING_NUMBERS_TOO_LARGE		"Trop grand !\r\n"
STRING_NUMBERS_PLAYER_LOOSE		"Vous avez perdu !\r\n"
STRING_NUMBERS_ATTEMPTS			"Tentatives : "
STRING_NUMBERS_NUMBER_VALUE		"Le nombre était : "
STRING_NUMBERS_PLAYER_WIN		"Vous avez gagné !\r\n"
STRING_BRAIN_CALCULATION_TITLE				"+---------------+\r\n| Calcul mental |\r\n+---------------+\r\n\r\nVous devez résoudre le plus grand nombre de calculs sans vous tromper.\r\nAppuyez sur Echap pour quitter.\r\n\r\n"
STRING_BRAIN_CALCULATION_CHOOSE_DIFFICULTY 	"Choix de la difficulté :\r\n[F]acile (nombres entre 0 et 9)\r\n[M]oyen (nombres entre 10 et 99)\r\n[f/m] ? "
STRING_BRAIN_CALCULATION_CORRECT_ANSWERS 	"\r\nNombre de réponses correctes : "
STRING_BRAIN_CALCULATION_GOOD_RESULT 		"Juste !\r\n\r\n"
STRING_BRAIN_CALCULATION_BAD_RESULT 		"Faux ! Le résultat était : "
STRING_BRAIN_CALCULATION_PLAYER_WIN			"Félicitations, vous avez trouvé 100 résultats justes !\r\nVous avez terminé la partie.\r\n"
STRING_WUMPUS_TITLE									"+------------------+\r\n| Chasse au Wumpus |\r\n+------------------+\r\n\r\nUtilisez les touches ZQSD pour vous déplacer.\r\nLes touches OKLM permettent de tirer une flèche.\r\nAppuyez sur la touche Echap pour quitter.\r\n\r\n"
STRING_WUMPUS_HUD_ROOM_NUMBER						"Vous vous trouvez dans la salle "
STRING_WUMPUS_HUD_ARROWS_LEFT_1						". Il vous reste "
STRING_WUMPUS_HUD_ARROWS_LEFT_2						" flèche(s).\r\n"
STRING_WUMPUS_HUD_ROOMS_DISPLAYING_SEPARATOR		" | "
STRING_WUMPUS_HUD_CAN_GO_UPSIDE_ROOM				"Haut : "
STRING_WUMPUS_HUD_CAN_GO_DOWNSIDE_ROOM				"Bas : "
